Wall time,Step,Value
1577928189.9204392,6,10.0
1577928193.5796485,7,10.0
1577928216.3059485,12,10.0
1577928227.3105779,15,10.0
1577928230.8677814,16,10.0
1577928241.823408,19,10.0
1577928249.565851,21,10.0
1577928264.3736978,25,10.0
1577928311.702405,37,10.0
1577928327.2752955,41,10.0
1577928334.8027258,43,10.0
1577928342.6251736,45,10.0
1577928346.3893888,46,10.0
1577928354.0148249,48,10.0
1577928377.3501596,54,10.0
1577928381.185379,55,10.0
1577928385.013598,56,10.0
1577928388.8048148,57,10.0
1577928392.7650414,58,10.0
1577928424.7818723,66,10.0
1577928436.8815646,69,10.0
1577928448.5932345,72,10.0
1577928452.5634615,73,10.0
1577928456.6936977,74,10.0
1577928460.7949324,75,10.0
1577928481.1170948,80,10.0
1577928513.5499496,88,10.0
1577928517.6921866,89,10.0
1577928542.5156066,95,10.0
1577928576.1505303,103,10.0
1577928587.9602058,106,10.0
1577928592.164446,107,10.0
1577928619.640018,114,10.0
1577928631.007668,117,10.0
1577928638.9851243,119,10.0
1577928672.3480325,127,10.0
1577928683.8946931,130,10.0
1577928688.107934,131,10.0
1577928723.5939636,140,10.0
1577928731.3834093,142,10.0
1577928735.2576308,143,10.0
1577928739.191856,144,10.0
1577928766.291406,151,10.0
1577928785.6365123,156,10.0
1577928793.5449646,158,10.0
1577928797.3861842,159,10.0
1577928812.9300733,163,10.0
1577928832.3411834,168,10.0
1577928836.179403,169,10.0
1577928847.6960618,172,10.0
1577928871.0523977,178,10.0
1577928874.9686217,179,10.0
1577928882.9850802,181,10.0
1577928895.133775,184,10.0
1577928903.5842586,186,10.0
1577928907.6374903,187,10.0
1577928915.745954,189,10.0
1577928923.7474117,191,10.0
1577928927.6606357,192,10.0
1577928955.5332298,199,10.0
1577928987.6830688,207,10.0
1577928991.6872978,208,10.0
1577928995.6885266,209,10.0
1577929011.396425,213,10.0
1577929051.0416927,223,10.0
1577929055.3899412,224,10.0
1577929063.7734208,226,10.0
1577929079.044294,230,10.0
1577929090.8819711,233,10.0
1577929095.1892178,234,10.0
1577929099.3974583,235,10.0
1577929112.2371926,238,10.0
1577929162.3320582,250,10.0
1577929186.7294536,256,10.0
1577929199.4301798,259,10.0
1577929207.6576505,261,10.0
1577929211.7678857,262,10.0
1577929219.9503536,264,10.0
1577929237.1283362,268,10.0
1577929253.4162679,272,10.0
1577929261.4877293,274,10.0
1577929281.759889,279,10.0
1577929338.6561432,293,10.0
1577929360.6223996,298,10.0
1577929364.9706483,299,10.0
1577929381.2065768,303,10.0
1577929385.2618089,304,10.0
1577929401.6767478,308,10.0
1577929405.7509809,309,10.0
1577929413.900447,311,10.0
1577929426.278155,314,10.0
1577929446.4433084,319,10.0
1577929450.531542,320,10.0
1577929454.569773,321,10.0
1577929474.8399324,326,10.0
1577929478.892164,327,10.0
1577929482.8303895,328,10.0
1577929494.763072,331,10.0
1577929530.483115,340,10.0
1577929539.2646172,342,10.0
1577929562.844966,348,10.0
1577929586.9993477,354,10.0
1577929590.8435676,355,10.0
1577929614.1439002,361,10.0
1577929625.9185736,364,10.0
1577929641.5604682,368,10.0
1577929657.688391,372,10.0
1577929665.4508348,374,10.0
1577929681.576757,378,10.0
1577929685.577986,379,10.0
1577929689.705222,380,10.0
1577929698.0777009,382,10.0
1577929718.6508777,387,10.0
1577929738.713025,392,10.0
1577929742.6352494,393,10.0
1577929746.573475,394,10.0
1577929805.688856,409,10.0
1577929831.3153217,416,10.0
1577929853.0125628,422,10.0
1577929856.8397815,423,10.0
1577929863.945188,425,10.0
1577929871.0165925,427,10.0
1577929885.1724021,431,10.0
1577929916.6132004,440,10.0
1577929923.4335904,442,10.0
1577929926.8437858,443,10.0
1577929937.3173847,446,10.0
1577929958.371589,452,10.0
1577929986.5321996,460,10.0
1577929989.9753966,461,10.0
1577930000.3959925,464,10.0
1577930003.886192,465,10.0
1577930035.9260247,474,10.0
1577930039.3332195,475,10.0
1577930077.470401,486,10.0
1577930088.1140096,489,10.0
1577930091.6212103,490,10.0
1577930098.6086102,492,10.0
1577930105.4510014,494,10.0
1577930154.5658104,508,10.0
1577930172.0378098,513,10.0
1577930179.0112088,515,10.0
1577930189.558812,518,10.0
1577930196.5282106,520,10.0
1577930213.631189,525,10.0
1577930217.0313833,526,10.0
1577930238.0915878,532,10.0
1577930244.9769819,534,10.0
1577930248.4351795,535,10.0
1577930255.2865715,537,10.0
1577930258.9107785,538,10.0
1577930269.405379,541,10.0
1577930276.3557765,543,10.0
1577930293.7867734,548,10.0
1577930297.4309819,549,10.0
1577930328.9427843,558,10.0
1577930335.8121772,560,10.0
1577930349.7879767,564,10.0
1577930353.239174,565,10.0
1577930356.7303736,566,10.0
1577930370.9611876,570,10.0
1577930384.848982,574,10.0
1577930388.4431877,575,10.0
1577930398.9807904,578,10.0
1577930405.9261875,580,10.0
1577930409.3203816,581,10.0
1577930412.7885802,582,10.0
1577930416.28478,583,10.0
1577930419.8559844,584,10.0
1577930423.3021815,585,10.0
1577930430.323583,587,10.0
1577930433.7557793,588,10.0
1577930451.2207782,593,10.0
1577930454.7089777,594,10.0
1577930468.9887946,598,10.0
1577930479.4753942,601,10.0
1577930486.3807893,603,10.0
1577930507.5750017,609,10.0
1577930514.4733963,611,10.0
1577930531.9933982,616,10.0
1577930545.962197,620,10.0
1577930549.404394,621,10.0
1577930556.2787871,623,10.0
1577930597.9951732,635,10.0
1577930622.6215818,642,10.0
1577930626.0997806,643,10.0
1577930633.3891978,645,10.0
1577930636.7953925,646,10.0
1577930640.2655911,647,10.0
1577930643.8087935,648,10.0
1577930650.6371841,650,10.0
1577930661.2047884,653,10.0
1577930675.1855881,657,10.0
1577930678.5917833,658,10.0
1577930692.487578,662,10.0
1577930703.1461875,665,10.0
1577930717.020981,669,10.0
1577930726.9965518,672,10.0
1577930730.5287538,673,10.0
1577930734.1449604,674,10.0
1577930737.6921632,675,10.0
1577930741.1753628,676,10.0
1577930748.1687627,678,10.0
1577930751.635961,679,10.0
1577930755.4241776,680,10.0
1577930765.6987653,683,10.0
1577930769.2609692,684,10.0
1577930772.7311676,685,10.0
1577930779.6675644,687,10.0
1577930786.5279567,689,10.0
1577930790.0131562,690,10.0
1577930814.5715606,697,10.0
1577930825.101163,700,10.0
1577930839.38998,704,10.0
1577930849.7235713,707,10.0
1577930856.6019647,709,10.0
1577930863.6683688,711,10.0
1577930878.475216,715,10.0
1577930893.4220707,719,10.0
1577930904.808722,722,10.0
1577930908.6499417,723,10.0
1577930912.4471588,724,10.0
1577930916.088367,725,10.0
