Wall time,Step,Value
1577821525.3912044,1,0.0
1577821535.3627746,2,1.0
1577821538.8389735,3,3.0
1577821542.4841821,4,1.0
1577821545.8783762,5,1.0
1577821549.4355793,6,2.0
1577821553.0097837,7,0.0
1577821556.4299796,8,2.0
1577821560.0811884,9,1.0
1577821566.5485582,10,0.0
1577821571.6938527,11,1.0
1577821575.5850751,12,2.0
1577821579.025272,13,2.0
1577821582.502471,14,2.0
1577821585.9826698,15,4.0
1577821589.5658746,16,2.0
1577821593.2660863,17,3.0
1577821596.7072833,18,5.0
1577821600.1514804,19,10.0
1577821603.8126898,20,2.0
1577821607.1998835,21,10.0
1577821610.8190904,22,12.0
1577821614.7723167,23,7.0
1577821618.5245311,24,9.0
1577821622.1877406,25,6.0
1577821625.7469442,26,6.0
1577821629.3131483,27,6.0
1577821633.0663629,28,12.0
1577821636.4485562,29,14.0
1577821640.1037655,30,8.0
1577821643.627967,31,13.0
1577821647.5411909,32,17.0
1577821651.2924056,33,10.0
1577821654.8626096,34,17.0
1577821658.401812,35,23.0
1577821662.6040525,36,26.0
1577821666.1722565,37,22.0
1577821669.7954636,38,30.0
1577821673.5836806,39,24.0
1577821677.510905,40,27.0
1577821680.9661026,41,17.0
1577821684.1632855,42,31.0
1577821687.494476,43,35.0
1577821691.4877043,44,36.0
1577821695.1359131,45,35.0
1577821698.6621149,46,31.0
1577821702.2363193,47,46.0
1577821705.869527,48,54.0
1577821709.5137355,49,49.0
1577821712.9559324,50,54.0
1577821716.9091585,51,62.0
1577821720.751378,52,78.0
1577821724.4115875,53,51.0
1577821728.350813,54,60.0
1577821731.9940214,55,79.0
1577821736.1252577,56,93.0
1577821739.9114742,57,75.0
1577821743.6536884,58,80.0
1577821748.3349557,59,69.0
1577821751.992165,60,84.0
1577821755.7203784,61,101.0
1577821759.2535803,62,102.0
1577821762.7467802,63,106.0
1577821766.2709818,64,128.0
1577821769.7271795,65,137.0
1577821773.1703765,66,141.0
1577821776.6565757,67,155.0
1577821780.156776,68,166.0
1577821784.0369978,69,176.0
1577821787.7922127,70,240.0
