Wall time,Step,Value
1577754767.101542,1,-0.19921875
1577754776.909103,2,0.080078125
1577754780.6873188,3,2.8271484375
1577754784.4835358,4,2.7109375
1577754788.2617521,5,3.6123046875
1577754792.1799762,6,7.087890625
1577754796.0071952,7,11.5361328125
1577754799.797412,8,2.912109375
1577754803.9476492,9,6.76171875
1577754812.093115,10,22.712890625
1577754815.9573364,11,18.9384765625
1577754819.7155511,12,20.806640625
1577754823.4457645,13,32.521484375
1577754827.1119742,14,39.9970703125
1577754830.987196,15,42.607421875
1577754834.9524226,16,42.9404296875
1577754839.292671,17,40.2041015625
1577754843.6849222,18,43.625
1577754847.175122,19,43.2216796875
1577754851.0473433,20,23.8701171875
1577754854.7575555,21,-4.8125
1577754858.9177933,22,-5.2001953125
1577754863.1330345,23,-2.990234375
1577754867.3082733,24,-5.587890625
1577754871.675523,25,-4.8857421875
1577754875.4967415,26,-5.3251953125
1577754879.3049595,27,-5.93359375
1577754883.0501738,28,-5.943359375
1577754886.9373963,29,-6.0810546875
1577754891.4226527,30,-5.7763671875
1577754895.7769017,31,-5.8740234375
1577754899.5531178,32,-5.39453125
1577754903.387337,33,-6.095703125
1577754907.442569,34,-4.8388671875
1577754911.0767767,35,-6.0703125
1577754914.717985,36,-6.3271484375
1577754918.4902008,37,-6.296875
1577754922.7524447,38,-6.5126953125
1577754926.589664,39,-6.0712890625
1577754932.915026,40,-6.5810546875
1577754936.5302327,41,-6.4541015625
1577754940.8584802,42,-6.6982421875
1577754944.87471,43,-6.2783203125
1577754948.8899395,44,-5.8740234375
1577754952.9271705,45,-5.5126953125
1577754956.9424,46,-5.89453125
1577754960.4606013,47,-6.1201171875
1577754964.1258109,48,-5.28125
1577754967.8700252,49,-5.5810546875
1577754971.397227,50,-5.2568359375
1577754974.9384294,51,-4.91796875
1577754978.4176285,52,-5.6689453125
1577754981.9878325,53,-5.482421875
1577754985.6010394,54,-5.7265625
1577754989.1392417,55,-4.6298828125
1577754992.5614374,56,-5.3349609375
1577754995.6906164,57,-5.453125
1577754999.1048117,58,-6.2421875
1577755003.6130695,59,-5.1396484375
1577755007.7883081,60,-5.3896484375
1577755011.5735247,61,-5.7177734375
1577755015.6557584,62,-5.443359375
1577755019.4389746,63,-5.501953125
1577755023.289195,64,-5.2958984375
1577755027.1274145,65,-4.16796875
1577755030.8896296,66,-4.16796875
1577755034.5358381,67,-4.97265625
1577755038.2520506,68,-4.3154296875
1577755041.8682575,69,-5.462890625
1577755045.4844644,70,-2.001953125
1577755048.9676635,71,-4.775390625
1577755052.4938653,72,-5.03125
1577755056.0810707,73,-5.2763671875
1577755059.5692701,74,-5.6494140625
1577755063.0614698,75,-4.62109375
1577755066.5676703,76,-5.2568359375
1577755070.0718708,77,-4.923828125
1577755073.6550756,78,-6.0693359375
1577755077.367288,79,-3.68359375
1577755080.9364922,80,-5.501953125
1577755084.5026963,81,-5.0703125
1577755088.1059022,82,-0.7041015625
1577755091.6471047,83,-1.70703125
1577755095.4303212,84,-5.423828125
1577755099.1135318,85,-5.2177734375
1577755102.8897476,86,-4.638671875
1577755106.5069547,87,-5.3544921875
1577755110.374176,88,-6.0244140625
1577755114.0693872,89,-6.1181640625
1577755117.7385972,90,-6.287109375
1577755121.4728107,91,-5.7080078125
1577755125.1620216,92,-6.287109375
1577755129.1252484,93,-6.4931640625
1577755132.7924583,94,-6.287109375
1577755136.3446612,95,-5.1455078125
1577755139.8788636,96,-6.4931640625
1577755143.3100598,97,-6.267578125
1577755147.109277,98,-6.66015625
1577755150.2474566,99,-6.05078125
1577755153.9356675,100,-6.189453125
