Wall time,Step,Value
1578001587.8665617,6,6.112500190734863
1578001591.6427777,7,6.525000095367432
1578001613.7980447,12,7.162499904632568
1578001625.5507169,15,9.212499618530273
1578001629.2989314,16,12.162500381469727
1578001640.741586,19,9.462499618530273
1578001648.6430378,21,12.337499618530273
1578001664.3149343,25,15.375
1578001711.325623,37,25.737499237060547
1578001726.8055086,41,30.1875
1578001734.7859647,43,26.049999237060547
1578001742.4614038,45,37.349998474121094
1578001746.2616212,46,29.3125
1578001753.984063,48,35.3125
1578001777.601414,54,38.462501525878906
1578001781.2656233,55,36.587501525878906
1578001784.9938369,56,38.67499923706055
1578001788.6100433,57,38.54999923706055
1578001792.6662755,58,40.0625
1578001824.0640714,66,44.67499923706055
1578001835.767741,69,41.36249923706055
1578001847.1773934,72,53.099998474121094
1578001851.068616,73,46.36249923706055
1578001855.0648446,74,46.29999923706055
1578001858.920065,75,47.67499923706055
1578001878.2281694,80,46.212501525878906
1578001909.2009408,88,59.76250076293945
1578001913.3221765,89,68.55000305175781
1578001936.4404988,95,111.0999984741211
1578001967.442272,103,148.3125
1578001979.0099337,106,163.5500030517578
1578001982.8301523,107,159.6125030517578
1578002009.9167016,114,172.0500030517578
1578002021.7553787,117,132.64999389648438
1578002029.64483,119,85.8375015258789
1578002060.5705988,127,75.13749694824219
1578002072.0172534,130,95.67500305175781
1578002075.8464725,131,89.4375
1578002110.7944715,140,59.79999923706055
1578002118.6339197,142,68.0374984741211
1578002122.696152,143,63.17499923706055
1578002126.7053814,144,87.75
1578002155.6190352,151,45.01250076293945
1578002173.6470664,156,46.900001525878906
1578002181.1674964,158,78.9625015258789
1578002184.9077106,159,103.25
1578002201.0516338,163,85.0875015258789
1578002221.2057867,168,106.5250015258789
1578002225.132011,169,133.96249389648438
1578002238.4827747,172,162.5749969482422
1578002262.3661408,178,120.63749694824219
1578002266.2783647,179,74.38749694824219
1578002274.1818166,181,125.1624984741211
1578002285.8234825,184,132.5749969482422
1578002293.64893,186,132.4499969482422
1578002297.5701544,187,132.33749389648438
1578002305.4686062,189,126.3375015258789
1578002313.0940423,191,155.71249389648438
1578002316.9622636,192,126.0250015258789
1578002344.593844,199,128.1999969482422
1578002375.7416255,207,121.05000305175781
1578002379.5188415,208,141.9499969482422
1578002383.371062,209,129.60000610351562
1578002399.1129622,213,145.78750610351562
1578002438.0981922,223,142.6374969482422
1578002441.8934093,224,146.71249389648438
1578002449.705856,226,151.27499389648438
1578002465.1967418,230,186.9499969482422
