Wall time,Step,Value
1578001587.2855284,6,10.0
1578001591.0627444,7,10.0
1578001613.170009,12,10.0
1578001624.9626834,15,10.0
1578001628.716898,16,10.0
1578001640.148552,19,10.0
1578001648.0560043,21,10.0
1578001663.644896,25,10.0
1578001710.74859,37,10.0
1578001726.1974738,41,10.0
1578001734.1559289,43,10.0
1578001741.885371,45,10.0
1578001745.6665874,46,10.0
1578001753.389029,48,10.0
1578001777.0163803,54,10.0
1578001780.715592,55,10.0
1578001784.389802,56,10.0
1578001788.0010087,57,10.0
1578001792.0252388,58,10.0
1578001823.4590366,66,10.0
1578001835.1727068,69,10.0
1578001846.5853596,72,10.0
1578001850.4675815,73,10.0
1578001854.4088068,74,10.0
1578001858.3320315,75,10.0
1578001877.6371355,80,10.0
1578001908.589906,88,10.0
1578001912.6931405,89,10.0
1578001935.847465,95,10.0
1578001966.826237,103,10.0
1578001978.4088993,106,10.0
1578001982.2301178,107,10.0
1578002009.3156672,114,10.0
1578002021.1553445,117,10.0
1578002029.0307949,119,10.0
1578002059.960564,127,10.0
1578002071.4272196,130,10.0
1578002075.243438,131,10.0
1578002110.176436,140,10.0
1578002117.986883,142,10.0
1578002122.0721164,143,10.0
1578002126.0983467,144,10.0
1578002155.0500026,151,10.0
1578002173.083034,156,10.0
1578002180.5534616,158,10.0
1578002184.286675,159,10.0
1578002200.4305985,163,10.0
1578002220.4997463,168,10.0
1578002224.5589783,169,10.0
1578002237.8717399,172,10.0
1578002261.756106,178,10.0
1578002265.6793303,179,10.0
1578002273.574782,181,10.0
1578002285.2284486,184,10.0
1578002293.0178938,186,10.0
1578002296.9781206,187,10.0
1578002304.872572,189,10.0
1578002312.500008,191,10.0
1578002316.358229,192,10.0
1578002343.9878092,199,10.0
1578002375.1425912,207,10.0
1578002378.9238074,208,10.0
1578002382.7400258,209,10.0
1578002398.494927,213,10.0
1578002437.4631557,223,10.0
1578002441.297375,224,10.0
1578002449.0698197,226,10.0
1578002464.5927076,230,10.0
1578002476.0783644,233,10.0
1578002479.9665868,234,10.0
1578002484.0598211,235,10.0
1578002495.6204822,238,10.0
1578002542.5341656,250,10.0
1578002565.830498,256,10.0
1578002577.7601802,259,10.0
1578002585.4786217,261,10.0
1578002589.2708387,262,10.0
1578002597.0842857,264,10.0
1578002612.6441755,268,10.0
1578002627.8670464,272,10.0
1578002635.8785045,274,10.0
1578002655.2886147,279,10.0
1578002709.6367233,293,10.0
1578002728.914826,298,10.0
1578002732.8080485,299,10.0
1578002748.74196,303,10.0
1578002752.8381941,304,10.0
1578002768.2130737,308,10.0
1578002772.0012903,309,10.0
1578002779.7797353,311,10.0
1578002791.6884162,314,10.0
1578002810.881514,319,10.0
1578002814.7837374,320,10.0
1578002818.6639593,321,10.0
1578002838.0750694,326,10.0
1578002842.0082943,327,10.0
1578002845.988522,328,10.0
1578002857.3521721,331,10.0
1578002892.0531569,340,10.0
1578002899.9916108,342,10.0
1578002924.4590104,348,10.0
1578002949.8894649,354,10.0
1578002954.8097463,355,10.0
1578002980.294204,361,10.0
1578002992.8619227,364,10.0
1578003011.4219842,368,10.0
1578003027.8929265,372,10.0
1578003036.0023904,374,10.0
1578003053.371384,378,10.0
1578003057.4356163,379,10.0
1578003061.3098378,380,10.0
1578003070.043337,382,10.0
1578003091.5995703,387,10.0
1578003114.9819076,392,10.0
1578003119.8721874,393,10.0
1578003124.3534436,394,10.0
1578003187.3650477,409,10.0
1578003215.7886732,416,10.0
1578003239.435026,422,10.0
1578003243.596264,423,10.0
1578003251.8777375,425,10.0
1578003262.5293467,427,10.0
1578003278.5222616,431,10.0
1578003313.63927,440,10.0
1578003321.2507055,442,10.0
1578003324.9969199,443,10.0
1578003337.483634,446,10.0
1578003360.718963,452,10.0
1578003390.9006894,460,10.0
1578003394.6259024,461,10.0
1578003405.8015416,464,10.0
1578003409.5087538,465,10.0
1578003443.2616842,474,10.0
1578003446.950895,475,10.0
1578003487.9712415,486,10.0
1578003499.187883,489,10.0
1578003502.8690934,490,10.0
1578003510.237515,492,10.0
1578003517.5779347,494,10.0
1578003569.4609025,508,10.0
1578003588.175973,513,10.0
1578003595.6494002,515,10.0
1578003607.548081,518,10.0
1578003614.860499,520,10.0
1578003633.2805526,525,10.0
1578003637.0367675,526,10.0
1578003659.359044,532,10.0
1578003666.7474668,534,10.0
1578003670.4446783,535,10.0
1578003677.837101,537,10.0
1578003681.650319,538,10.0
1578003692.6599488,541,10.0
1578003699.9763675,543,10.0
1578003718.955453,548,10.0
1578003722.6466641,549,10.0
1578003756.178582,558,10.0
1578003763.6440089,560,10.0
1578003778.472857,564,10.0
1578003782.1470673,565,10.0
1578003785.898282,566,10.0
1578003800.9481425,570,10.0
1578003815.9450004,574,10.0
1578003819.7922204,575,10.0
1578003831.344881,578,10.0
1578003838.823309,580,10.0
1578003842.5195205,581,10.0
1578003846.3627403,582,10.0
1578003850.1779585,583,10.0
1578003854.3461967,584,10.0
1578003858.2984228,585,10.0
1578003865.9188588,587,10.0
1578003869.5720675,588,10.0
1578003889.1071851,593,10.0
1578003892.9094026,594,10.0
1578003908.77331,598,10.0
1578003920.1489606,601,10.0
1578003928.1154163,603,10.0
1578003951.467752,609,10.0
1578003959.0271845,611,10.0
1578003978.6953094,616,10.0
1578003994.5602167,620,10.0
1578003998.8404613,621,10.0
1578004006.6949108,623,10.0
1578004057.802834,635,10.0
1578004085.3304083,642,10.0
1578004089.4256425,643,10.0
1578004097.4621022,645,10.0
1578004101.5653372,646,10.0
1578004105.972589,647,10.0
1578004111.7179177,648,10.0
1578004120.8224385,650,10.0
1578004132.703118,653,10.0
1578004148.0559962,657,10.0
1578004151.7662082,658,10.0
1578004166.5050514,662,10.0
1578004177.7236931,665,10.0
1578004192.3025267,669,10.0
1578004203.0011387,672,10.0
1578004206.5933442,673,10.0
1578004210.3405585,674,10.0
1578004214.437793,675,10.0
1578004218.1880074,676,10.0
1578004225.5314274,678,10.0
1578004229.1796362,679,10.0
1578004232.8968487,680,10.0
1578004244.1474922,683,10.0
1578004247.9347088,684,10.0
1578004251.6209197,685,10.0
1578004258.8363323,687,10.0
1578004266.1407502,689,10.0
1578004269.722955,690,10.0
1578004295.2934175,697,10.0
1578004306.105036,700,10.0
1578004320.7678745,704,10.0
1578004331.6194954,707,10.0
1578004338.8429084,709,10.0
1578004346.0153189,711,10.0
1578004360.6431556,715,10.0
1578004375.114983,719,10.0
1578004385.9476027,722,10.0
1578004389.6718156,723,10.0
1578004393.648043,724,10.0
1578004397.2882514,725,10.0
1578004418.8184826,731,10.0
1578004440.2927113,737,10.0
1578004447.5491261,739,10.0
1578004451.2393372,740,10.0
1578004465.5591562,744,10.0
1578004476.3887756,747,10.0
1578004480.0409846,748,10.0
1578004490.9306073,751,10.0
1578004494.6738214,752,10.0
1578004498.283028,753,10.0
1578004505.4804397,755,10.0
1578004512.7158532,757,10.0
1578004534.3960934,763,10.0
1578004545.5697327,766,10.0
1578004549.1659381,767,10.0
1578004560.0295596,770,10.0
1578004563.7307713,771,10.0
1578004567.5189881,772,10.0
1578004574.772403,774,10.0
1578004578.344607,775,10.0
1578004600.0118463,781,10.0
1578004614.619682,785,10.0
1578004618.185886,786,10.0
1578004625.4853036,788,10.0
1578004632.696716,790,10.0
1578004640.006134,792,10.0
1578004643.6113403,793,10.0
1578004647.2365475,794,10.0
1578004650.882756,795,10.0
1578004654.4319592,796,10.0
1578004665.1895745,799,10.0
1578004672.5229938,801,10.0
1578004679.7694085,803,10.0
1578004690.531024,806,10.0
1578004698.0534542,808,10.0
1578004701.65466,809,10.0
1578004705.2388651,810,10.0
1578004727.339129,816,10.0
1578004730.9173338,817,10.0
1578004737.7637253,819,10.0
