Wall time,Step,Value
1578001587.276528,6,120.0
1578001591.052744,7,120.0
1578001613.1610084,12,120.0
1578001624.953683,15,120.0
1578001628.7088978,16,120.0
1578001640.1405513,19,120.0
1578001648.048004,21,120.0
1578001663.6368954,25,120.0
1578001710.7395897,37,120.0
1578001726.188473,41,120.0
1578001734.1469283,43,120.0
1578001741.8743703,45,120.0
1578001745.6575866,46,120.0
1578001753.3800285,48,120.0
1578001777.00738,54,120.0
1578001780.7075915,55,120.0
1578001784.3808014,56,120.0
1578001787.9930081,57,120.0
1578001792.014238,58,120.0
1578001823.4490364,66,120.0
1578001835.163706,69,120.0
1578001846.5773592,72,120.0
1578001850.457581,73,120.0
1578001854.3998065,74,120.0
1578001858.3230307,75,120.0
1578001877.627135,80,120.0
1578001908.5809054,88,120.0
1578001912.68414,89,120.0
1578001935.8394644,95,120.0
1578001966.8162363,103,120.0
1578001978.400899,106,120.0
1578001982.2211175,107,120.0
1578002009.3066666,114,120.0
1578002021.1463437,117,120.0
1578002029.0217943,119,120.0
1578002059.9505634,127,120.0
1578002071.4182193,130,120.0
1578002075.2344375,131,120.0
1578002110.1664355,140,120.0
1578002117.9778824,142,120.0
1578002122.062116,143,120.0
1578002126.0893464,144,120.0
1578002155.0410023,151,120.0
1578002173.0750337,156,120.0
1578002180.545461,158,120.0
1578002184.2776744,159,120.0
1578002200.4205978,163,120.0
1578002220.4907455,168,120.0
1578002224.5499778,169,120.0
1578002237.8617392,172,120.0
1578002261.7461054,178,120.0
1578002265.6693296,179,120.0
1578002273.5647814,181,120.0
1578002285.2054472,184,120.0
1578002293.0088935,186,120.0
1578002296.9681199,187,120.0
1578002304.8615713,189,120.0
1578002312.4910078,191,120.0
1578002316.3482285,192,120.0
1578002343.9788089,199,120.0
1578002375.1335907,207,120.0
1578002378.914807,208,120.0
1578002382.7310255,209,120.0
1578002398.4859264,213,120.0
1578002437.4531553,223,120.0
1578002441.2883744,224,120.0
1578002449.0608191,226,120.0
1578002464.5837069,230,120.0
1578002476.069364,233,120.0
1578002479.9565861,234,120.0
1578002484.0498204,235,120.0
1578002495.6114817,238,120.0
1578002542.524165,250,120.0
1578002565.8214977,256,120.0
1578002577.7521796,259,120.0
1578002585.4696212,261,120.0
1578002589.2618382,262,120.0
1578002597.075285,264,120.0
1578002612.635175,268,120.0
1578002627.8580456,272,120.0
1578002635.869504,274,120.0
1578002655.2806141,279,120.0
1578002709.6277227,293,120.0
1578002728.9058254,298,120.0
1578002732.800048,299,120.0
1578002748.7339594,303,120.0
1578002752.8291938,304,120.0
1578002768.2040732,308,120.0
1578002771.9932897,309,120.0
1578002779.7707345,311,120.0
1578002791.6784155,314,120.0
1578002810.8735135,319,120.0
1578002814.7757368,320,120.0
1578002818.6549585,321,120.0
1578002838.066069,326,120.0
1578002841.999294,327,120.0
1578002845.9795215,328,120.0
1578002857.3441715,331,120.0
1578002892.0441563,340,120.0
1578002899.9836104,342,120.0
1578002924.44901,348,120.0
1578002949.8804643,354,120.0
1578002954.7947454,355,120.0
1578002980.2852035,361,120.0
