Wall time,Step,Value
1577841136.7262812,1,0.0
1577841147.0398712,2,1.0
1577841150.9470947,3,0.0
1577841155.0983322,4,0.0
1577841159.116562,5,3.0
1577841163.5148137,6,1.0
1577841167.4830406,7,1.0
1577841171.4802692,8,4.0
1577841175.3774922,9,4.0
1577841182.245885,10,3.0
1577841186.145108,11,3.0
1577841190.0563316,12,3.0
1577841193.9175525,13,3.0
1577841197.7297704,14,3.0
1577841201.5209875,15,3.0
1577841205.3382058,16,3.0
1577841209.139423,17,8.0
1577841212.9206395,18,5.0
1577841216.8228626,19,3.0
1577841220.7860892,20,7.0
1577841224.577306,21,9.0
1577841228.4315267,22,5.0
1577841232.1927416,23,5.0
1577841235.9499567,24,5.0
1577841239.7201724,25,8.0
1577841243.52539,26,9.0
1577841247.4526143,27,5.0
1577841251.2458315,28,8.0
1577841255.0930514,29,6.0
1577841259.0642788,30,11.0
1577841262.812493,31,10.0
1577841266.640712,32,15.0
1577841270.6119394,33,14.0
1577841274.4121563,34,7.0
1577841278.3403811,35,11.0
1577841282.114597,36,18.0
1577841285.9248152,37,14.0
1577841289.6650288,38,13.0
1577841293.4172437,39,15.0
1577841297.3854704,40,7.0
1577841301.1786876,41,13.0
1577841304.948903,42,18.0
1577841308.8501263,43,23.0
1577841312.6343427,44,22.0
1577841316.4275596,45,15.0
1577841320.1937752,46,19.0
1577841323.9799914,47,29.0
1577841327.8182113,48,22.0
1577841331.8274405,49,34.0
1577841335.7606657,50,20.0
1577841339.6258864,51,31.0
1577841343.4501054,52,38.0
1577841347.2423222,53,29.0
1577841351.0095375,54,35.0
1577841354.8207557,55,30.0
1577841358.651975,56,36.0
1577841362.4311907,57,38.0
1577841366.3474147,58,41.0
1577841370.543655,59,49.0
1577841374.3358717,60,52.0
1577841378.1750915,61,54.0
1577841381.9343064,62,64.0
1577841385.7015219,63,79.0
1577841389.51174,64,78.0
1577841393.3149574,65,79.0
1577841397.327187,66,76.0
1577841401.1544058,67,90.0
1577841404.9196212,68,92.0
1577841408.9218502,69,85.0
1577841412.6670644,70,98.0
1577841416.4582813,71,116.0
1577841420.2374973,72,121.0
1577841424.0127132,73,135.0
1577841427.926937,74,143.0
1577841431.7951584,75,153.0
1577841435.5903754,76,155.0
1577841439.4875984,77,150.0
1577841443.3058167,78,144.0
1577841447.3280466,79,154.0
1577841451.1822672,80,181.0
1577841454.9874847,81,198.0
1577841458.9677124,82,216.0
1577841462.8439343,83,272.0
1577841466.8311625,84,310.0
1577841470.618379,85,347.0
1577841474.4886003,86,343.0
1577841478.309819,87,373.0
1577841482.4160538,88,392.0
1577841486.3582792,89,408.0
1577841490.2485018,90,472.0
1577841494.3917387,91,499.0
1577841498.1759553,92,517.0
1577841502.002174,93,541.0
1577841505.9333987,94,568.0
1577841509.7526171,95,600.0
1577841513.6188385,96,578.0
1577841517.5820649,97,616.0
1577841521.5952947,98,604.0
1577841525.5265193,99,608.0
1577841529.3787396,100,613.0
1577841533.2089589,101,626.0
1577841536.990175,102,621.0
1577841540.8863978,103,636.0
1577841544.735618,104,651.0
1577841548.6718433,105,629.0
1577841552.515063,106,655.0
1577841556.4422877,107,651.0
1577841560.487519,108,659.0
1577841564.3547401,109,653.0
1577841568.1329565,110,638.0
1577841572.021179,111,647.0
1577841576.0384088,112,624.0
1577841579.855627,113,596.0
1577841583.7258484,114,593.0
1577841587.60507,115,615.0
1577841591.44829,116,574.0
1577841595.2775092,117,607.0
1577841599.2947388,118,634.0
1577841603.2989678,119,643.0
1577841607.7732236,120,616.0
1577841611.673447,121,659.0
1577841615.5496686,122,672.0
1577841619.405889,123,667.0
1577841623.3001118,124,666.0
1577841627.1903343,125,664.0
1577841631.0565555,126,663.0
1577841635.3348002,127,663.0
1577841639.0290115,128,670.0
1577841642.693221,129,672.0
1577841646.3484302,130,670.0
1577841650.2996562,131,669.0
1577841653.9828668,132,669.0
1577841657.7190804,133,667.0
1577841661.3682892,134,660.0
1577841665.2435107,135,667.0
1577841669.0567288,136,668.0
1577841673.013955,137,667.0
1577841676.7091665,138,669.0
1577841680.3643758,139,665.0
1577841684.026585,140,670.0
1577841687.7727995,141,671.0
1577841691.4130075,142,672.0
1577841695.073217,143,670.0
1577841698.9644396,144,675.0
1577841702.611648,145,667.0
1577841706.3448617,146,672.0
1577841710.2210834,147,671.0
1577841713.9062943,148,655.0
1577841717.578504,149,674.0
1577841721.297717,150,673.0
1577841724.9259243,151,672.0
1577841728.729142,152,672.0
1577841732.381351,153,672.0
1577841736.1185646,154,666.0
1577841739.7967749,155,665.0
1577841743.4449837,156,669.0
1577841747.2682023,157,670.0
1577841750.9704142,158,670.0
1577841754.2786033,159,673.0
1577841758.0428185,160,669.0
1577841761.719029,161,670.0
1577841765.4002395,162,670.0
1577841769.1434534,163,672.0
1577841772.8146634,164,673.0
1577841776.4608722,165,670.0
1577841780.1040804,166,677.0
1577841783.9463003,167,672.0
1577841787.704515,168,673.0
1577841791.3527236,169,674.0
1577841794.990932,170,675.0
1577841798.7281456,171,675.0
1577841802.526363,172,673.0
1577841806.3895838,173,673.0
1577841810.5108197,174,675.0
1577841814.138027,175,676.0
1577841818.107254,176,674.0
1577841821.7384617,177,674.0
1577841825.3576689,178,673.0
1577841828.997877,179,675.0
1577841832.740091,180,671.0
1577841836.4903054,181,674.0
1577841840.1125128,182,677.0
1577841843.8127246,183,681.0
1577841847.6829457,184,677.0
1577841851.3321545,185,675.0
1577841855.1653738,186,678.0
1577841858.7995818,187,676.0
1577841862.494793,188,680.0
1577841866.2660086,189,680.0
1577841869.940219,190,676.0
1577841873.5904276,191,676.0
1577841877.3596432,192,678.0
1577841881.117858,193,673.0
1577841884.7930682,194,677.0
1577841888.4102752,195,679.0
1577841892.254495,196,676.0
1577841895.9607072,197,675.0
1577841899.5879145,198,678.0
1577841903.2351232,199,675.0
1577841907.0453413,200,676.0
1577841910.69555,201,677.0
1577841914.3947616,202,674.0
1577841918.0659714,203,676.0
1577841921.7241807,204,678.0
1577841925.4313927,205,680.0
1577841929.2446108,206,678.0
1577841933.0028257,207,673.0
1577841936.8230443,208,675.0
1577841940.4802535,209,678.0
1577841944.1554637,210,679.0
1577841947.8036723,211,680.0
1577841951.525885,212,677.0
1577841955.1720936,213,680.0
1577841958.8073015,214,679.0
1577841962.6315205,215,674.0
1577841966.7737572,216,680.0
1577841970.4459674,217,679.0
1577841973.7171545,218,681.0
1577841977.397365,219,677.0
1577841981.1015768,220,678.0
1577841984.789788,221,677.0
1577841988.429996,222,677.0
1577841992.065204,223,677.0
1577841995.8654213,224,672.0
1577841999.744643,225,673.0
1577842003.3928518,226,681.0
1577842007.0720623,227,677.0
1577842010.6942694,228,677.0
1577842014.4384837,229,681.0
1577842018.0846922,230,678.0
1577842021.7339008,231,681.0
1577842025.5551193,232,679.0
1577842029.1363244,233,672.0
1577842032.7955337,234,680.0
1577842036.614752,235,679.0
1577842040.24896,236,675.0
1577842043.8921683,237,677.0
1577842047.6223817,238,680.0
1577842051.2585897,239,677.0
1577842054.9348,240,679.0
1577842058.7290168,241,679.0
1577842062.4952323,242,679.0
1577842066.1034386,243,678.0
1577842069.8086505,244,680.0
1577842073.5928671,245,681.0
1577842077.32008,246,680.0
1577842080.9752893,247,678.0
1577842084.6504996,248,677.0
1577842088.4187148,249,680.0
1577842092.0599232,250,670.0
1577842095.6721299,251,682.0
1577842099.3583405,252,680.0
1577842102.963547,253,680.0
1577842106.757764,254,679.0
1577842110.4559755,255,677.0
1577842114.1141846,256,680.0
1577842117.8874006,257,669.0
1577842121.89863,258,677.0
1577842125.6138425,259,677.0
1577842129.3730576,260,675.0
1577842133.0062654,261,677.0
1577842136.3344557,262,681.0
1577842139.956663,263,679.0
1577842143.8838875,264,676.0
1577842147.6761045,265,676.0
1577842151.356315,266,679.0
1577842155.0625267,267,677.0
1577842158.700735,268,677.0
1577842162.340943,269,679.0
1577842166.0371547,270,683.0
1577842169.7973697,271,667.0
1577842173.4445784,272,675.0
1577842177.2047935,273,680.0
1577842181.0240119,274,677.0
1577842184.7042222,275,680.0
1577842188.3454306,276,678.0
1577842191.9866388,277,676.0
1577842195.7448537,278,680.0
1577842199.4310646,279,680.0
1577842203.1152754,280,678.0
1577842206.8594894,281,679.0
1577842210.611704,282,678.0
1577842214.2779138,283,677.0
1577842218.1001325,284,678.0
1577842221.802344,285,682.0
1577842225.5115564,286,681.0
1577842229.181766,287,679.0
1577842232.91798,288,678.0
1577842236.713197,289,677.0
1577842240.4224093,290,674.0
1577842244.1776237,291,678.0
1577842247.8968365,292,676.0
1577842251.7430565,293,677.0
1577842255.421267,294,667.0
1577842259.094477,295,672.0
1577842262.8086896,296,678.0
1577842266.6339085,297,681.0
1577842270.5391316,298,681.0
1577842274.1383376,299,679.0
1577842278.115565,300,679.0
1577842281.7577734,301,678.0
1577842285.5199885,302,680.0
1577842289.3372068,303,681.0
1577842292.9864156,304,682.0
1577842296.838636,305,680.0
1577842300.490845,306,679.0
1577842304.1540544,307,681.0
1577842307.9112694,308,680.0
1577842311.5514774,309,678.0
1577842315.2196875,310,683.0
1577842318.9148986,311,679.0
1577842322.575108,312,681.0
1577842326.5653362,313,681.0
1577842330.2535472,314,681.0
1577842333.8967557,315,679.0
1577842337.576966,316,682.0
1577842341.2361753,317,680.0
1577842344.8983848,318,683.0
1577842348.5055914,319,680.0
1577842352.1578002,320,680.0
1577842356.0050201,321,681.0
1577842359.6472285,322,679.0
1577842363.4624467,323,684.0
1577842367.085654,324,682.0
1577842370.7128613,325,681.0
1577842374.4560754,326,680.0
1577842378.0972836,327,679.0
1577842381.7494924,328,678.0
