Wall time,Step,Value
1577830275.4756806,1,0.4296875
1577830285.2142375,2,-0.0751953125
1577830289.002454,3,0.4208984375
1577830293.0266845,4,1.9638671875
1577830297.6619494,5,0.603515625
1577830301.9051921,6,2.5400390625
1577830306.187437,7,0.92578125
1577830309.8986495,8,2.138671875
1577830313.3448465,9,1.478515625
1577830319.615205,10,3.09375
1577830323.669437,11,0.8935546875
1577830327.601662,12,3.66015625
1577830331.430881,13,4.818359375
1577830335.2050967,14,5.7998046875
1577830340.0013711,15,0.7333984375
1577830343.790588,16,4.921875
1577830347.8358192,17,2.6435546875
1577830351.9360538,18,5.943359375
1577830355.984285,19,5.4423828125
1577830360.2885315,20,3.248046875
1577830364.5867774,21,6.810546875
1577830368.65501,22,4.4765625
1577830372.8812516,23,6.501953125
1577830376.8284774,24,12.15234375
1577830380.4516847,25,9.4541015625
1577830384.023889,26,6.8662109375
1577830387.6300952,27,7.54296875
1577830391.2323012,28,10.880859375
1577830395.7585602,29,6.99609375
1577830399.9508,30,6.642578125
1577830403.833022,31,9.7822265625
1577830407.4812305,32,8.654296875
1577830411.14244,33,9.0966796875
1577830415.351681,34,6.9580078125
1577830419.1548984,35,9.5859375
1577830422.8301086,36,12.4765625
1577830426.4873178,37,18.8212890625
1577830430.178529,38,10.0576171875
1577830433.8967416,39,20.9609375
1577830437.71096,40,22.7412109375
1577830441.3751693,41,31.89453125
1577830445.1263838,42,32.65625
1577830448.9036002,43,20.4423828125
1577830452.190788,44,22.9052734375
1577830455.8729987,45,25.2509765625
1577830459.6492147,46,31.8984375
1577830463.3504264,47,26.3798828125
1577830466.9906344,48,29.4921875
1577830470.8548555,49,35.123046875
1577830474.4940636,50,30.935546875
1577830478.2542787,51,24.1611328125
1577830482.0994987,52,21.82421875
1577830485.741707,53,39.892578125
1577830489.4449189,54,41.892578125
1577830493.13813,55,38.0869140625
1577830496.8143404,56,38.673828125
1577830500.513552,57,53.0009765625
1577830504.1827617,58,40.1201171875
1577830508.2179928,59,48.1640625
1577830511.8572006,60,40.4765625
1577830515.5094094,61,52.7548828125
1577830519.1956203,62,51.650390625
1577830522.8878314,63,49.0908203125
1577830526.567042,64,52.6005859375
1577830530.2472525,65,54.3427734375
1577830533.8944612,66,56.7119140625
1577830537.5746715,67,60.9150390625
1577830541.2478817,68,63.40625
1577830545.0861013,69,50.8955078125
1577830548.7753124,70,62.470703125
1577830552.441522,71,58.431640625
1577830556.095731,72,49.3037109375
1577830559.7439396,73,66.1044921875
1577830563.4291506,74,69.95703125
1577830567.0743587,75,63.5361328125
1577830570.7575696,76,73.158203125
1577830574.4237792,77,60.8056640625
1577830578.0759883,78,55.1875
1577830581.9292085,79,57.2158203125
